Row number,Year,Stlkey,Station,Setno,IPHC Species Code,Scientific Name,Species Name,SampleType,HooksFished,HooksRetrieved,HooksObserved,Number Observed
149,2023,20230023,2042,4,303,,Hook with Skin,20Hook,792.0,792.0,160.0,43.0
150,2023,20230023,2042,4,304,,Empty Hook,20Hook,792.0,792.0,160.0,48.0
151,2023,20230023,2042,4,305,,Hook with Bait,20Hook,792.0,792.0,160.0,56.0
152,2023,20230024,2040,5,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,1.0
153,2023,20230024,2040,5,81,(includes brittle and basketstars),unident. Starfish,20Hook,792.0,792.0,160.0,1.0
154,2023,20230024,2040,5,303,,Hook with Skin,20Hook,792.0,792.0,160.0,20.0
155,2023,20230024,2040,5,304,,Empty Hook,20Hook,792.0,792.0,160.0,51.0
156,2023,20230024,2040,5,305,,Hook with Bait,20Hook,792.0,792.0,160.0,55.0
157,2023,20230024,2040,5,307,,Bent/Broken/Missing,20Hook,792.0,792.0,160.0,8.0
158,2023,20230025,2038,6,21,Ophiodon elongatus,Lingcod,20Hook,784.0,784.0,160.0,1.0
159,2023,20230025,2038,6,303,,Hook with Skin,20Hook,784.0,784.0,160.0,42.0
160,2023,20230025,2038,6,304,,Empty Hook,20Hook,784.0,784.0,160.0,58.0
161,2023,20230025,2038,6,305,,Hook with Bait,20Hook,784.0,784.0,160.0,44.0
162,2023,20230025,2038,6,307,,Bent/Broken/Missing,20Hook,784.0,784.0,160.0,2.0
163,2023,20230026,2039,7,27,Anoplopoma fimbria,Sablefish (Blackcod),20Hook,792.0,792.0,160.0,8.0
164,2023,20230026,2039,7,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,30.0
165,2023,20230026,2039,7,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792.0,792.0,160.0,2.0
166,2023,20230026,2039,7,90,Sebastes babcocki,Redbanded Rockfish,20Hook,792.0,792.0,160.0,2.0
167,2023,20230026,2039,7,127,Sebastes paucispinis,Bocaccio,20Hook,792.0,792.0,160.0,1.0
168,2023,20230026,2039,7,143,Raja rhina,Longnose Skate,20Hook,792.0,792.0,160.0,4.0
169,2023,20230026,2039,7,212,Halipteris californica,Sea Whip,20Hook,792.0,792.0,160.0,1.0
170,2023,20230026,2039,7,303,,Hook with Skin,20Hook,792.0,792.0,160.0,17.0
171,2023,20230026,2039,7,304,,Empty Hook,20Hook,792.0,792.0,160.0,45.0
172,2023,20230026,2039,7,305,,Hook with Bait,20Hook,792.0,792.0,160.0,45.0
173,2023,20230026,2039,7,307,,Bent/Broken/Missing,20Hook,792.0,792.0,160.0,2.0
174,2023,20230027,2037,8,27,Anoplopoma fimbria,Sablefish (Blackcod),20Hook,792.0,792.0,160.0,39.0
175,2023,20230027,2037,8,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,7.0
176,2023,20230027,2037,8,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792.0,792.0,160.0,7.0
177,2023,20230027,2037,8,90,Sebastes babcocki,Redbanded Rockfish,20Hook,792.0,792.0,160.0,12.0
178,2023,20230027,2037,8,143,Raja rhina,Longnose Skate,20Hook,792.0,792.0,160.0,3.0
179,2023,20230027,2037,8,303,,Hook with Skin,20Hook,792.0,792.0,160.0,16.0
180,2023,20230027,2037,8,304,,Empty Hook,20Hook,792.0,792.0,160.0,35.0
181,2023,20230027,2037,8,305,,Hook with Bait,20Hook,792.0,792.0,160.0,31.0
182,2023,20230027,2037,8,307,,Bent/Broken/Missing,20Hook,792.0,792.0,160.0,2.0
183,2023,20230028,2035,9,2,Atheresthes stomias,Arrowtooth Flounder,20Hook,792.0,792.0,160.0,3.0
184,2023,20230028,2035,9,21,Ophiodon elongatus,Lingcod,20Hook,792.0,792.0,160.0,8.0
185,2023,20230028,2035,9,27,Anoplopoma fimbria,Sablefish (Blackcod),20Hook,792.0,792.0,160.0,10.0
186,2023,20230028,2035,9,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,7.0
187,2023,20230028,2035,9,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792.0,792.0,160.0,12.0
188,2023,20230028,2035,9,90,Sebastes babcocki,Redbanded Rockfish,20Hook,792.0,792.0,160.0,8.0
189,2023,20230028,2035,9,127,Sebastes paucispinis,Bocaccio,20Hook,792.0,792.0,160.0,4.0
190,2023,20230028,2035,9,143,Raja rhina,Longnose Skate,20Hook,792.0,792.0,160.0,11.0
191,2023,20230028,2035,9,154,Sebastes elongatus,Greenstriped Rockfish,20Hook,792.0,792.0,160.0,1.0
192,2023,20230028,2035,9,303,,Hook with Skin,20Hook,792.0,792.0,160.0,16.0
193,2023,20230028,2035,9,304,,Empty Hook,20Hook,792.0,792.0,160.0,36.0
194,2023,20230028,2035,9,305,,Hook with Bait,20Hook,792.0,792.0,160.0,22.0
195,2023,20230028,2035,9,307,,Bent/Broken/Missing,20Hook,792.0,792.0,160.0,3.0
196,2023,20230029,2242,10,21,Ophiodon elongatus,Lingcod,20Hook,792.0,792.0,160.0,4.0
197,2023,20230029,2242,10,81,(includes brittle and basketstars),unident. Starfish,20Hook,792.0,792.0,160.0,1.0
198,2023,20230029,2242,10,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792.0,792.0,160.0,13.0
199,2023,20230029,2242,10,93,,Sea Anemone,20Hook,792.0,792.0,160.0,1.0
200,2023,20230029,2242,10,141,Raja binoculata,Big Skate,20Hook,792.0,792.0,160.0,1.0
201,2023,20230029,2242,10,303,,Hook with Skin,20Hook,792.0,792.0,160.0,18.0
202,2023,20230029,2242,10,304,,Empty Hook,20Hook,792.0,792.0,160.0,39.0
203,2023,20230029,2242,10,305,,Hook with Bait,20Hook,792.0,792.0,160.0,65.0
204,2023,20230030,2034,11,14,Eopsetta jordani,Petrale Sole,20Hook,792.0,792.0,160.0,1.0
205,2023,20230030,2034,11,21,Ophiodon elongatus,Lingcod,20Hook,792.0,792.0,160.0,4.0
206,2023,20230030,2034,11,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,5.0
207,2023,20230030,2034,11,81,(includes brittle and basketstars),unident. Starfish,20Hook,792.0,792.0,160.0,1.0
208,2023,20230030,2034,11,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792.0,792.0,160.0,2.0
209,2023,20230030,2034,11,141,Raja binoculata,Big Skate,20Hook,792.0,792.0,160.0,2.0
210,2023,20230030,2034,11,303,,Hook with Skin,20Hook,792.0,792.0,160.0,23.0
211,2023,20230030,2034,11,304,,Empty Hook,20Hook,792.0,792.0,160.0,53.0
212,2023,20230030,2034,11,305,,Hook with Bait,20Hook,792.0,792.0,160.0,41.0
213,2023,20230030,2034,11,307,,Bent/Broken/Missing,20Hook,792.0,792.0,160.0,2.0
214,2023,20230031,2237,12,21,Ophiodon elongatus,Lingcod,20Hook,792.0,792.0,160.0,10.0
215,2023,20230031,2237,12,29,Cottidae,unident. Sculpin,20Hook,792.0,792.0,160.0,1.0
216,2023,20230031,2237,12,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,3.0
217,2023,20230031,2237,12,81,(includes brittle and basketstars),unident. Starfish,20Hook,792.0,792.0,160.0,1.0
218,2023,20230031,2237,12,143,Raja rhina,Longnose Skate,20Hook,792.0,792.0,160.0,1.0
219,2023,20230031,2237,12,303,,Hook with Skin,20Hook,792.0,792.0,160.0,6.0
220,2023,20230031,2237,12,304,,Empty Hook,20Hook,792.0,792.0,160.0,19.0
221,2023,20230031,2237,12,305,,Hook with Bait,20Hook,792.0,792.0,160.0,109.0
222,2023,20230032,2032,13,54,Squalus suckleyi,Spiny Dogfish,20Hook,784.0,784.0,160.0,2.0
223,2023,20230032,2032,13,143,Raja rhina,Longnose Skate,20Hook,784.0,784.0,160.0,2.0
224,2023,20230032,2032,13,303,,Hook with Skin,20Hook,784.0,784.0,160.0,21.0
225,2023,20230032,2032,13,304,,Empty Hook,20Hook,784.0,784.0,160.0,23.0
226,2023,20230032,2032,13,305,,Hook with Bait,20Hook,784.0,784.0,160.0,78.0
227,2023,20230032,2032,13,307,,Bent/Broken/Missing,20Hook,784.0,784.0,160.0,21.0
228,2023,20230033,2033,14,27,Anoplopoma fimbria,Sablefish (Blackcod),20Hook,792.0,792.0,160.0,20.0
229,2023,20230033,2033,14,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,9.0
230,2023,20230033,2033,14,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792.0,792.0,160.0,6.0
231,2023,20230033,2033,14,90,Sebastes babcocki,Redbanded Rockfish,20Hook,792.0,792.0,160.0,24.0
232,2023,20230033,2033,14,143,Raja rhina,Longnose Skate,20Hook,792.0,792.0,160.0,2.0
233,2023,20230033,2033,14,303,,Hook with Skin,20Hook,792.0,792.0,160.0,9.0
234,2023,20230033,2033,14,304,,Empty Hook,20Hook,792.0,792.0,160.0,61.0
235,2023,20230033,2033,14,305,,Hook with Bait,20Hook,792.0,792.0,160.0,20.0
236,2023,20230034,2248,15,2,Atheresthes stomias,Arrowtooth Flounder,20Hook,792.0,792.0,160.0,1.0
237,2023,20230034,2248,15,21,Ophiodon elongatus,Lingcod,20Hook,792.0,792.0,160.0,7.0
238,2023,20230034,2248,15,87,Sebastes maliger,Quillback Rockfish,20Hook,792.0,792.0,160.0,4.0
239,2023,20230034,2248,15,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792.0,792.0,160.0,5.0
240,2023,20230034,2248,15,141,Raja binoculata,Big Skate,20Hook,792.0,792.0,160.0,1.0
241,2023,20230034,2248,15,209,Stylasterias Forreri,Fish-eating Star,20Hook,792.0,792.0,160.0,1.0
242,2023,20230034,2248,15,303,,Hook with Skin,20Hook,792.0,792.0,160.0,16.0
243,2023,20230034,2248,15,304,,Empty Hook,20Hook,792.0,792.0,160.0,25.0
244,2023,20230034,2248,15,305,,Hook with Bait,20Hook,792.0,792.0,160.0,85.0
245,2023,20230034,2248,15,307,,Bent/Broken/Missing,20Hook,792.0,792.0,160.0,2.0
246,2023,20230035,2247,16,2,Atheresthes stomias,Arrowtooth Flounder,20Hook,792.0,792.0,160.0,1.0
247,2023,20230035,2247,16,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,30.0
248,2023,20230035,2247,16,130,Hexanchus griseus,Sixgill Shark,20Hook,792.0,792.0,160.0,1.0
249,2023,20230035,2247,16,143,Raja rhina,Longnose Skate,20Hook,792.0,792.0,160.0,1.0
250,2023,20230035,2247,16,303,,Hook with Skin,20Hook,792.0,792.0,160.0,34.0
251,2023,20230035,2247,16,304,,Empty Hook,20Hook,792.0,792.0,160.0,76.0
252,2023,20230035,2247,16,305,,Hook with Bait,20Hook,792.0,792.0,160.0,11.0
253,2023,20230066,2283,1,3,Hippoglossoides elassodon,Flathead Sole,20Hook,595.0,595.0,160.0,1.0
254,2023,20230066,2283,1,26,Gadus macrocephalus,Pacific Cod,20Hook,595.0,595.0,160.0,1.0
255,2023,20230066,2283,1,27,Anoplopoma fimbria,Sablefish (Blackcod),20Hook,595.0,595.0,160.0,1.0
256,2023,20230066,2283,1,54,Squalus suckleyi,Spiny Dogfish,20Hook,595.0,595.0,160.0,12.0
257,2023,20230066,2283,1,143,Raja rhina,Longnose Skate,20Hook,595.0,595.0,160.0,1.0
258,2023,20230066,2283,1,303,,Hook with Skin,20Hook,595.0,595.0,160.0,1.0
259,2023,20230066,2283,1,304,,Empty Hook,20Hook,595.0,595.0,160.0,125.0
260,2023,20230066,2283,1,307,,Bent/Broken/Missing,20Hook,595.0,595.0,160.0,3.0
261,2023,20230067,2279,2,2,Atheresthes stomias,Arrowtooth Flounder,20Hook,784.0,784.0,160.0,1.0
262,2023,20230067,2279,2,26,Gadus macrocephalus,Pacific Cod,20Hook,784.0,784.0,160.0,1.0
263,2023,20230067,2279,2,54,Squalus suckleyi,Spiny Dogfish,20Hook,784.0,784.0,160.0,21.0
264,2023,20230067,2279,2,87,Sebastes maliger,Quillback Rockfish,20Hook,784.0,784.0,160.0,3.0
265,2023,20230067,2279,2,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,784.0,784.0,160.0,3.0
266,2023,20230067,2279,2,303,,Hook with Skin,20Hook,784.0,784.0,160.0,6.0
267,2023,20230067,2279,2,304,,Empty Hook,20Hook,784.0,784.0,160.0,115.0
268,2023,20230067,2279,2,305,,Hook with Bait,20Hook,784.0,784.0,160.0,4.0
269,2023,20230067,2279,2,307,,Bent/Broken/Missing,20Hook,784.0,784.0,160.0,3.0
270,2023,20230068,2103,3,26,Gadus macrocephalus,Pacific Cod,20Hook,792.0,792.0,160.0,1.0
